fecha,phys_factor,psic_factor,status,data_collected,titulo ,autor ,co_autores ,ano_pub,DOI,selec_representatividad,selec_no_exp,selec_exposicion,selec_evento,comp_edad,comp_otro,event_eval,event_durac,event_seg,pais,muestra,genero ,pop,edad_base,edad_rango,anos_seg,waves,marco_conceptual ,percent_ee_es,percent_m_ee_es,percent_h_ee_es,operalizacion_1,operalizacion_2,operalizacion_3,operalizacion_4,operalizacion_5,operalizacion_6,operalizacion_7,operalizacion_8,operalizacion_9,operalizacion_10,or_rr,or_rr_ajustado,crudo_ajustado
13/01/2022,,,paused ,,Serial circulating omega 3 polyunsaturated fatty acids and healthy ageing among older adults in the Cardiovascular Health Study: prospective cohort study.,Lai,"Lai, Heidi Tm; de Oliveira Otto, Marcia C.; Lemaitre, Rozenn N.; McKnight, Barbara; Song, Xiaoling; King, Irena B.; Chaves, Paulo Hm; Odden, Michelle C.; Newman, Anne B.; Siscovick, David S.; Mozaffarian, Dariush",2018,10.1136/bmj.k4067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2022,,,question,,Association of 10-Year C-Reactive Protein Trajectories With Markers of Healthy Aging: Findings From the English Longitudinal Study of Aging.,Lassale,"Lassale, Camille; Batty, G. David; Steptoe, Andrew; Cadar, Dorina; Akbaraly, Tasnime N.; Kivimäki, Mika; Zaninotto, Paola",2019,10.1093/gerona/gly028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2022,,,paused ,,Evaluation of successful aging among older people in China: Results from China health and retirement longitudinal study.,Liu,"Liu, Huaqing; Byles, Julie E.; Xu, Xiaoyue; Zhang, Min; Wu, Xuesen; Hall, John J.",2017,10.1111/ggi.12848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2022,,,paused ,,What factors influence healthy aging? A person-centered approach among older adults in Taiwan.,Liu,"Liu, Li-Fan; Su, Pei-Fang",2017,10.1111/ggi.12774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/01/2022,,,paused ,,Social Participation and Healthy Aging Among the Older Japanese:  The Ohsaki Cohort 2006 Study,Lu,"Lu, Yukai; Matsuyama, Sanae MS; Tanji, Fumiya; Otsuka, Tatsui; Tomata, Yasutake; Tsuji, Ichiro",2021,10.1093/gerona/glab101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2022,,,paused ,,"Adult height, dietary patterns, and healthy aging.",Ma,"Ma, Wenjie; Hagan, Kaitlin A.; Heianza, Yoriko; Sun, Qi; Rimm, Eric B.; Qi, Lu",2017,10.3945/ajcn.116.147256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2022,,0,question,,Educational differences in trajectories and determinants of healthy ageing in midlife and older Americans.,McLaughlin,"McLaughlin, Sara J.; Kim, Seonjin; Li, Lydia W.; Zhang, Jiaan",2020,10.1016/j.maturitas.2020.01.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2022,,0,question,,Contribution of education to health and life satisfaction in older adults mediated by negative affect.,Meeks,Meeks S; Murrell SA,2001,10.1177/089826430101300105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/01/2022,,0,question,,Educational differences in trajectories and determinants of healthy ageing in midlife and older Americans.,MejÃ­a,"Mejía, Shannon T.; Ryan, Lindsay H.; Gonzalez, Richard; Smith, Jacqui",2017,10.1093/geronb/gbw148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/01/2022,,,paused ,,The impact of physical activity on healthy ageing trajectories: evidence from eight cohort studies.,Moreno-Agostino,"Moreno-Agostino, Darío; Daskalopoulou, Christina; Wu, Yu-Tzu; Koukounari, Artemis; Haro, Josep Maria; Tyrovolas, Stefanos; Panagiotakos, Demosthenes B.; Prince, Martin; Prina, A. Matthew",2020,10.1186/s12966-020-00995-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
